Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
Devil in a Blue Dress (film),Mystery,"In 1948 Los Angeles, Easy Rawlins is laid off from his job at Champion Aircraft and needs money to pay his mortgage. Easy's friend Joppy introduces him to DeWitt Albright, a white man looking for a missing white woman, Daphne Monet. Explaining that Monet's disappearance led her wealthy fiancé, Todd Carter, to drop out of the Los Angeles mayoral race, Albright pays Easy to find Daphne, who is known to frequent the juke joints along Central Avenue.
Easy begins his search at an illegal club where he sees the bouncer, Junior Fornay, eject a white man. Learning that his friend Dupree Brouchard's girlfriend, Coretta James, is a confidant of Daphne, Easy spends the night with Coretta and discovers Daphne is involved with gangster Frank Green. Albright arranges a meeting at the Malibu pier, where Easy is accosted by racist white youths before Albright viciously humiliates one of the boys at gunpoint. Easy tells him about Green, and is given another payment to continue his search.
Returning home, Easy is arrested by LAPD homicide detectives, who reveal that Coretta has been murdered. Interrogated and beaten before being released, he is approached by Matthew Terell, the remaining mayoral candidate. Terell is with a young boy, supposedly his adopted son, and inquires about Daphne, but Easy divulges nothing. After a nightmare about Coretta, he receives a call from Daphne herself. They meet at the Ambassador Hotel, and she asks him to drive her to meet Richard McGee, a White man from the club. They arrive to find McGee dead, with his house ransacked. Easy notices a pack of Mexican cigarettes, the same brand smoked by Junior. Traumatized after witnessing the grisly scene, Daphne panics and flees, driving off and stranding Easy.
Easy makes it home, but is threatened again by Albright and his partners, who demand that he track Daphne down a second time or face murder charges. Easy sends for his friend, Raymond 'Mouse' Alexander, and confronts Joppy for leading Daphne to him. He meets with Todd Carter, realizing that Albright actually works for Terell, and secures another payment to locate Daphne. Returning home, he is ambushed by Frank Green but rescued by Mouse. Frank escapes after the trigger-happy Mouse shoots him in the shoulder, and Easy misses a call from Daphne. Questioned again by the detectives, Easy is given until the following morning to clear his name.
Easy and Mouse confront Junior – the owner of the cigarettes – who admits to driving McGee home and being given a letter for Coretta to deliver to Daphne. They visit Dupree where, inside Coretta's Bible, Easy finds the contents of a letter and incriminating photographs of Terell with naked children. At home, Easy finds Daphne waiting, and she reveals that Frank is her half-brother: their mother was Creole, and Daphne's father was white while Frank's was Black. Terell learned of Daphne's heritage, and the potential scandal forced Carter to abandon his campaign, but Daphne bought the pictures from McGee to blackmail Terell into silence. Hunting for Daphne and the pictures, Albright murdered McGee. When Coretta threatened to sell the pictures to Terell, Daphne sent Joppy to intimidate her, but did not expect him to kill Coretta.
Albright and his men arrive, subduing Easy and kidnapping Daphne. Joined by Mouse, Easy abducts Joppy at gunpoint, forcing him to take them to Albright's cabin in the Hollywood Hills. Easy and Mouse kill Albright and his men and rescue Daphne; returning to the car, Easy learns Mouse killed Joppy. Daphne pays Easy and Mouse $7,000 for the pictures, and Mouse returns home to Houston with his share. Daphne reveals that Carter's family paid her $30,000 to leave town, but she believes that the pictures will ensure Carter's victory and their marriage. Driving Daphne to meet Carter, who rejects her, Easy receives the rest of his payment in exchange for the pictures. Daphne and her brother leave town, while Carter's election is assured. No longer in trouble with the police, Easy considers starting his own business as a private investigator.",Carl Franklin,,,Jesse Beaton/ Gary Goetzman/ Jonathan Demme,Denzel Washington/ Tom Sizemore/ Jennifer Beals/ Don Cheadle/ Maury Chaykin,Tak Fujimoto,Carole Kravetz,Elmer Bernstein,,Sony Pictures Releasing,,102 minutes,$27 million,$22 million
The Devil-Stone,Mystery,"As described in a film magazine, Silas Martin (Marshall), a miser, marries Marcia Manot (Farrar) in order to gain possession of a valuable emerald she owns that once belonged to a Norse queen and is now cursed. After the wedding Marcia learns the true side of her husband and realizes that the marriage was a mistake. Silas steals the stone and places Marcia and Guy Sterling (Reid), his business partner, in a false light in order to get a divorce. Marcia sneaks in one night and discovers that Silas has the stone. She gains possession of it, but Silas attempts to regain it. They struggle, and Marcia kills him in self-defense. Sterling is accused of the murder, but the evidence clears him and the crime remains a mystery. Sterling marries Marcia and has an expert criminologist investigate the murder. He traces the crime to Marcia and, when confronted, she confesses. He gives her one month's leave of absence, after which she is to turn herself into the law. Marcia returns to her old home and gives the priest the emerald so he can make provision for homeless orphans. She returns and gives herself up to the criminologist. However, finding that her good deed has redeemed her, the criminologist does not turn her over to the law, and she and Sterling are happily reunited.",Cecil B. DeMille,Beatrice deMille/ Jeanie MacPherson/ Leighton Osmun,,Jesse L. Lasky/ Cecil B. DeMille,Geraldine Farrar/ Wallace Reid/ Hobart Bosworth/ Tully Marshall,Alvin Wyckoff,Cecil B. DeMille,,,Paramount Pictures,"December 16, 1917",60 minutes,,
Devil Town,Mystery,"A young woman's sister goes missing. To find her missing sister, she sets out on a quest throughout Brooklyn, enlisting a crew of the weirdest people in the city.",Harvey Mitkas,Harvey Mitkas,,Garth Garber/ John Peacock,Sophia Takal/ Lawrence Michael Levine/ Noah Gershman/ Lindsay Burdge/ Jennifer Kim/ Alex Ross Perry,Nandan Rao,Theodore Collatos,,,,"April 16, 2015Sarasota Film Festival)",73 minutes,,
Devil's Due (film),Mystery,"A young couple, Zach and Samantha McCall, are about to get married when Zach decides he wants to document their life together since Sam was raised in foster homes and doesn't know much about her history or roots. After their wedding, they go to the Dominican Republic for their honeymoon. During Carnival, the couple meet a fortune teller (DeMaris Gordon), who declares Sam was ""born from death"" and repeats to Sam that ""they have been waiting"" for her. Creeped out, the couple quickly leave. On their way out, a strange man watches them.
They get lost on the way home and a cab driver (Roger Payano) offers to take them to a local club. There are numerous strange symbols marking the area on their way there. At the club, the same man from the fortune teller's watches them and speaks with the cab driver. Unaware they are being trapped, the couple is drugged and taken to an underground chamber beneath the nightclub where a ritual is performed and an unseen force fills the room.
The next morning, Zach and Sam wake in their hotel with no memory of the previous night. 
A couple of weeks after the honeymoon, Sam discovers she is pregnant despite claiming to have taken birth control pills ""religiously"" ever since the wedding. Though shocked, Zach and Samantha are overjoyed and tell their family and friends the news. The couple later attend their first ultrasound scan where the doctor says that the baby looks healthy and Sam is due by the end of March. At that moment, the ultrasound screen goes static but recovers after a moment.
Throughout the course of her pregnancy, Sam begins to experience nosebleeds, stomach bruising, cravings for raw meat (despite being a vegetarian), superhuman strength, telekinetic abilities and unexplained feelings of rage whenever she or the baby appear to be threatened. Also, Zach and Sam keep seeing odd-looking people watching them from afar. Sam becomes convinced something is seriously wrong with the baby and that they are being watched. After a second visit to the doctor, a new doctor (Robert Aberdeen) appears and performs an amnio after Sam appears nauseous. He has no answer as to the whereabouts of their original doctor and the couple is suspicious.
Before the couple return home, masked men set up hidden cameras inside their home to monitor her progress and make sure she does not hurt the baby.
When Sam is eight months pregnant, the couple attend a holy communion at their church. Their usually friendly niece (Madison Wolfe) is oddly scared of Sam now, and the priest (Sam Anderson) who officiated Zach and Sam's wedding looks at Sam during the service and violently coughs up blood. Later at home, when Zach is reviewing the communion footage he filmed, he sees the mysterious cab driver from their honeymoon sitting in a pew. He visits the priest in the hospital, who explains the symbol is related to summoning the Antichrist. He warns Zach that the symbol is the gateway for the Antichrist, and that the followers of the cult will dress the house in ash to prepare for the arrival. After he finds ash all over his house (and the cops will not do anything), Zach chases the people watching their house and finds out where they are living. He asks his sister Suzie to stay with Sam while he breaks into the supposedly abandoned house at the end of his street where the cult is staying, and there he finds the CCTV footage of his house and the missing ultrasound. He is almost caught by the cult when he goes to leave. Performing the ritual with the other cult members is the McCall's mysterious second doctor, as well as the man who has been watching their house and the cult leader (who they initially saw at the fortune teller's place and later at the club). Zach barely manages to escape.
Meanwhile, Suzie goes to check Sam, only to find that she is drawing the cult symbol before being attacked by an unseen force.
Upon returning home, Zach finds the house surrounded by the masked men who have been watching them all along. Inside, he finds Suzie dead and hears Sam scream as the house is being destroyed by some unseen force. He finds Sam in the baby's nursery standing in a trance-like state with a knife to her stomach (the knife was a mysterious gift at her baby shower). She is standing atop the cult symbol that she has carved into the floor. Zach screams for her to stop, but she presses the knife to her stomach anyway and there is a violent blast of light. When Zach recovers, he finds Sam lying in her own blood with her stomach cut. Sam cries and wonders if the baby is all right before dying in his arms. Zach breaks down in grief before the cab driver and the second doctor arrive. Zach begs the intruders to leave them alone, but the doctor takes the baby regardless. The baby glows a deep red as he takes it from Sam's body. The cult takes his camera and tapes, removing all evidence. Zach is arrested and interrogated by the police about the death of his wife and sister, and disappearance of his child, crimes for which he looks guilty.
Before the credits, the screen shows another young couple, on their honeymoon in Paris, where the same cab driver offers them a lift, hinting that the events are about to repeat all over again.",Matt Bettinelli-Olpin/ Tyler Gillett,Lindsay Devlin,,John Davis,Allison Miller/ Zach Gilford,Justin Martinez,Rod Dean,,,20th Century Fox,"January 17, 2014",89 minutes,$7 million,$36.9 million
Dick Tracy's G-Men,Mystery,"International spy, Zarnoff, in the employ of ""The Three Powers"" (presumably a fictionalized reference to the Axis) is captured by Dick Tracy at the start of the serial, tried and sentenced to death.  However, through the use of a rare drug embedded by his agents in the evening newspaper, he escapes from the gas chamber.  His men pick up his ""corpse"" by ambushing the hearse and administering another counter-drug.  He continues his espionage plans, while taking the opportunity of revenge on Tracy.",William Witney/ John English,Franklin Adreon/ Ronald Davidson/ Barry Shipman/ Sol Shor/ Chester Gould (comic strip),,Robert M Beche,Ralph Byrd/ Irving Pichel/ Ted Pearson/ Phyllis Isley/ Walter Miller/ George Douglas,William Nobles,,,,Republic Pictures,,15 chapters / 263 minutes,"$159,876 (negative cost: $163,530)",
"Do Not Fold, Spindle or Mutilate",Mystery,"Four middle-class Pasadena ladies in their late sixties (Helen Hayes, Myrna Loy, Mildred Natwick and Sylvia Sidney) habitually meet for lunch and exchange small talk with their waitress (Dodo Denney). They propose to create a fictitious young woman named Rebecca, and to submit her profile to a computer dating service. Several days after doing so they begin to receive letters from potential suitors, and derive additional amusement from reading them out loud.
Concurrently, a young woman (Diane Shalet) becomes alarmed by her date Mal's (Vince Edwards) attempts to force himself upon her, and manages to escape into her home. His audible thoughts reveal that he has dangerous difficulty in relating to women.
Mal turns his obsessive attentions to the fictitious ""Rebecca"", and not only sends a letter but tracks down the telephone number of ""her"" address. He calls and speaks to one of the old ladies, who impishly accepts a date with him at a local bar. In a spirit of fun, the four ladies wait at the bar to see what Mal looks like; however, when he arrives he mistakes a hooker, Brenda (Barbara Davis) for ""Rebecca"", and leaves with her. When they arrive at Brenda's apartment and she asks for money, an outraged Mal attacks and kills her.
Once the ladies realize their actions have led to murder, they go to the police; however, they also investigate Mal themselves, which places them in grave danger...",Ted Post,,,,Myrna Loy/ Helen Hayes/ Mildred Natwick/ Sylvia Sidney/ John Beradino/ Vince Edwards,"Stanley Cortez, A.S.C.",,Jerry Goldsmith,Samuel Goldwyn Studios,,,73 minutes,,
Dolores Claiborne (film),Mystery,"In 1995, Dolores Claiborne works as a domestic servant on Little Tall Island in Maine. Dolores has a struggle with her elderly, partially paralyzed employer, Vera Donovan, in her mansion. Vera falls down the staircase and Dolores ransacks the kitchen. She is caught by a mailman, who sees her standing over Vera with a rolling pin, apparently intending to kill her. Vera dies and the police begin a murder investigation.
Dolores' daughter, Selena St. George, is a successful journalist, living in New York City, who battles depression and substance abuse. Selena arrives in town to support her mother, despite her own doubts about Dolores' innocence. Dolores insists she did not kill her employer. Selena finds little sympathy for Dolores, as the entire town believes she murdered her husband, Joe St. George, 18 years earlier. Some of the town's inhabitants harass her by vandalizing her home, taunting her in the street, and driving by her house and screaming at her. Detective John Mackey, who was the chief detective in her husband's murder case, is determined to put Dolores away for life.
Selena also believes Dolores killed her father and has not seen her mother in 15 years. In 1975, Joe was an abusive alcoholic, and one night Dolores had threatened to kill him with a hatchet if he ever harmed her again. Selena, then 13 years old, was unaware her mother was being abused. Dolores went to work as a housemaid for millionaire Vera Donovan to save money to pay for Selena's education. Dolores went to the bank to withdraw her money so Selena and she could flee Joe's abuse. The plan was abandoned, however, when Dolores discovered that Joe had stolen the money from Selena's savings account.
Dolores says Vera threw herself down the staircase and begged Dolores to put her out of her misery. Mackey refuses to believe her, and reveals that Vera has left her entire fortune to Dolores. Mackey informs them the will is eight years old, which nearly convinces Selena her mother is guilty. Dolores eventually tells Selena that before he died, Dolores realized Joe was sexually abusing Selena when he gave her an heirloom locket. Selena has always furiously denied any abuse, and after a fierce argument, she storms out, leaving Dolores to fend for herself.
Back in 1975, Dolores broke down and confessed Joe's abuses to Vera, who remained characteristically cold until Dolores mentioned that he was molesting Selena. Turning unusually sympathetic, Vera implied she killed her own late husband, Jack, who had died in a car accident in Maryland, and engineered it to look like an accident. She said, ""Sometimes Dolores, sometimes you have to be a high-riding bitch to survive. Sometimes being a bitch is all a woman has to hold on to."" Vera's confession formed a bond between the two women and convinced Dolores to take control of her situation. As a total solar eclipse approached, Dolores  was pointedly given the rest of the day off by Vera, who insinuates that she expects Dolores to use the free time to dispose of Joe, repeating her earlier statement, ""Sometimes being a bitch is all a woman has to hang on to.""
Dolores and Selena had an argument about Dolores' suspicions regarding Joe's sexual abuse. Selena fled home for the weekend to work at a hotel, where guests had flocked for the eclipse. Joe soon returned from working on a fishing boat, and Dolores offered him a bottle of Scotch to celebrate the eclipse. After Joe got drunk, Dolores revealed she knew he stole from Selena's account and molested his own daughter, then provoked him into attacking her and falling down an old well, leaving him to die as he plunges to the stone bottom.
Selena hears this entire story on a tape left for her by Dolores, who had foreseen her departure. While on the ferry, Selena suddenly uncovers a repressed memory of her father forcing her to give him a handjob. Realizing everything, Selena rushes back to Dolores as she is attending the coroner's inquest. As Mackey makes a case to be sent to a grand jury in an attempt to indict Dolores for murder, Selena arrives and tells him he has no admissible evidence, he is only doing this because of his personal vendetta against Dolores, and that despite an often stormy relationship, Vera and Dolores loved each other. Realizing that the case would likely end with either a dismissal or acquittal, Mackey reluctantly drops the charges. Dolores and Selena reconcile on the ferry wharf before Selena returns to New York.",Taylor Hackford,,,Charles Mulvehill/ Taylor Hackford,Kathy Bates/ Jennifer Jason Leigh/ David Strathairn/ Judy Parfitt/ John C. Reilly/ Eric Bogosian/ Christopher Plummer,Gabriel Beristain,Mark Warner,Danny Elfman,,Columbia Pictures,"March 24, 1995",132 minutes,$13 million,$46.4 million (estimate)
Don't Answer the Phone!,Mystery,"Vietnam vet, amateur bodybuilder, and talented porno-photographer Kirk Smith is a crazed killer who stalks the streets of Los Angeles, picking up young women, strangling them in lurid fashion, and sexually abusing their dead bodies. The opening shot of the film splits the frame into two images: Kirk flexing his muscles in a pose, and a large crucifix. Between murders, he carries out twisted religious ceremonies, has imaginary conversations with his dead father, and weeps like a baby. He repeatedly contacts Dr. Lindsay Gale, a psychologist with a radio show as well as a private therapy practice.  He calls her show, speaking with an assumed Spanish accent and complaining of chronic headaches and blackouts. He follows one of Dr. Gale's female patients home from her therapy session, and tortures the patient to death.  He also murders a prostitute while on the phone to Dr. Gale's show, forcing Dr. Gale to listen to the victim's cries.
Two goofy detectives named Hatcher and McCabe are charged with the task of tracking him down.  When McCabe first questions Dr. Gale, his manner is brusque and unsympathetic.  She develops a strong dislike for him.  However, he later prevents one of her patients from committing suicide, after which Dr. Gale becomes fond of McCabe and they have a brief love affair.
Hatcher and McCabe visit a whore-and-drug-house in search of a witness who has seen the strangler leaving the scene of one of his murders, but the witness (who is a pimp and a drug dealer) attacks them and they shoot him to death without being able to question him.
Kirk Smith is interrupted at the scene of his next murder by the victim's landlady, and he leaves a portfolio of photographs behind as he flees the scene.  Hatcher and McCabe show the photographs to the local pornography dealer (played by Chuck Mitchell, who would later star in Porky's); he identifies them as the work of Kirk Smith, who has provided him with high-quality pornographic pictures in the past.  When the detectives search Smith's apartment, they find his pictures of Dr. Gale and realize that he has selected her to be his next victim.  During this time, Smith invades Dr. Gale's home, ties her up, and terrorizes her for hours, ranting about his childhood, grabbing her breast and shouting ""Shut up or I'll tear your tit off!""
McCabe goes to Dr. Gale's home just in time to rescue her.  At the end of a protracted struggle, McCabe shoots Smith many times, including several times in the back. Kirk stumbles towards a pool and expires as he plunges in. The film ends with a shot of Smith's bullet-ridden floating body as McCabe snarls: ""Adios, creep!""",Robert Hammer,Michael D. Castle/ Robert Hammer,,Michael D. Castle/ Robert Hammer,James Westmoreland/ Denise Galik/ Nicholas Worth,James L. Carter,Joe Fineman,Byron Allred,,Crown International Pictures,"February 29, 1980",94 minutes,,
Doomed to Die,Mystery,"When the head of a shipping company is murdered in his office the identity of the killer seems obvious. The killer is the son of the owner of a rival shipping company; the reason is the Romeo and Juliet romance between the killer and the murdered man's daughter. They wanted to get married. The murdered man refused to give them his permission.
The murdered man's daughter asks Mr. Wong to investigate. She hopes that Wong will be able to prove that her fiancé didn't kill her father.
The killing took place a few days after the Wentworth Castle, one of the company's liners, caught fire and sank with the loss of more than 400 lives. Once again, Wong is given important information by the leader of a powerful tong (Chinese secret society) that leads him to other suspects. The tong leader tells Wong that a member of the tong was smuggling a great amount of tong money into the United States aboard the Wentworth Castle. The smuggler is known to have survived the sinking but disappeared with the tong's money.
Wong uses modern (for 1940) technology to recover seemingly ""lost"" evidence. He uncovers multiple conspiracies within the shipping company and succeeds in proving that the fiancé is not the murderer.",William Nigh,Hugh Wiley/ Ralph Gilbert Bettison/ Michael Jacoby,,Paul Malvern/ Scott R. Dunlap,Boris Karloff/ Marjorie Reynolds/ Grant Withers,Harry Neumann,Robert Golden,Edward J. Kay,,Monogram Pictures Corporation,"August 12, 1940",68 minutes,,
The Dragon Murder Case (film),Mystery,"The film features a large dragon illustration behind the opening and closing credits. Monty Montague disappears after diving into a natural pool of water on an estate. Several people dive in, but there is no trace of him. Philo Vance and the District Attorney come to investigate and decide to drain the pool. They are told that there are potholes near the pool, and  Montague's body is found at the bottom of a very deep pothole. His body has claw marks on it, consistent with the superstition that a dragon inhabits the pool.",H. Bruce Humberstone,F. Hugh Herbert/ Robert N. Lee/ Rian James (adaptation),,,Warren William/ Margaret Lindsay/ Lyle Talbot,,,Bernhard Kaun,,a Warner Bros.-First National Picture,"August 25, 1934",65-68 minutes,,
Dressed to Kill (1946 film),Mystery,"John Davidson, a convicted thief in Dartmoor prison (played by an uncredited Cyril Delevanti) embeds code revealing the hidden location of extremely valuable stolen Bank of England currency printing plates in the melody notes of three music boxes that he crafts to be sold at auction. Each box plays a subtly different version of ""The Swagman"". At the auction each is purchased by a different buyer.
Dr. Watson's friend Julian Emery, a music box collector, pays him and Sherlock Holmes a visit and tells them of an attempted burglary in his house the previous night of a plain cheap box (similar to the one he bought at auction) while leaving other much more valuable ones. Holmes and Watson ask to see and are shown Emery's collection. After they leave, Emery welcomes a female acquaintance, Hilda Courtney, who tries unsuccessfully to buy the auctioned box; when he declines, a male friend of Courtney's who has sneaked in murders Emery.
At this murder Holmes becomes even more curious and learns to whom else the boxes were auctioned off. Holmes and Watson arrive at the house of the person who bought the second one, just as a strange maid (Courtney in disguise) is on her way ""to go shopping""; they later realize it was not a maid, she locked a child in a closet in order to steal the box from the child.
Holmes is able to buy the third box, and upon examination, discovers that its variant musical notes' numbers correlate to letters of the alphabet. Scotland Yard fills him in on the stolen bank plates to which the music boxes connect, but all three are needed to decipher the message.
Back at home, the flat is found ransacked, and a cigarette with a distinct type of tobacco is the sole clue. Holmes tracks down the woman who bought the tobacco, Courtney.
While confronting her, Holmes is ambushed by her accomplices, handcuffed, taken to a warehouse, hung by a rafter, and left with poison gas filling the room. While Holmes is narrowly escaping death, Courtney steals the box from Watson.
Holmes manages to make it back in one piece and while conversing, Watson offhandedly mentions a quote from Dr. Samuel Johnson. Thinking about this quote, Holmes makes a connection as to where the stolen plates may be hidden.
Having stolen all the boxes and deciphered their message, Courtney and gang join a tour group at Dr. Samuel Johnson's house, now a museum, where they slip away and find the plates hidden within a bookshelf. Courtney is stealing the plates when Holmes ambushes the group. Scotland Yard officers arrest them, and the plates are returned to the bank.",Roy William Neill,Frank Gruber/ Leonard Lee,,Roy William Neill,Basil Rathbone/ Nigel Bruce/ Patricia Morison,Maury Gertsman,Saul A. Goodkind,Milton Rosen,,Universal Pictures,,76 minutes/ (copyright length)/ 72 minutes/ (restored version),,
The Drums of Jeopardy (1923 film),Mystery,"As described in a film magazine review, Jerome Hawksley, confidential secretary to Grand Duke Alexis of Russia, is bequeathed upon the death of the Duke during the Russian Revolution two jewels known as the ""Drums of Jeopardy."" Because the jewels are of great value and believed to possess a supernatural power, Gregor Karlov attempts to secure them. The jewels are sent to the United States with a trusted friend and given to Banker Burrows for safekeeping. Gregor, in an attempt to steal the jewels, kills the banker and kidnaps Jerome. Dorothy Burrows teams with Cutty, a secret service man, and are determined to bring the culprit to justice. Gregor is traced to Little Russia, a café in New York City, and is killed during a fight. Jerome and Dorothy agree to marry and the jewels are returned to him.",Edward Dillon,Alfred A. Cohn (titles)/ Arthur Hoerl (writer)/ A. Carle Palm (titles),,M.H. Hoffman (producer),Elaine Hammerstein/ Wallace Beery,James Diamond,Alfred A. Cohn/ A. Carle Palm,,,Truart Film,November 1923,70 minutes,,
The Drums of Jeopardy (1931 film),Mystery,"In the Russian Empire, the nobleman Prince Gregor Petroff seduces chemist Boris Karlov's daughter Anya, who then commits suicide after becoming pregnant. After discovering Anya's body with the Drums of Jeopardy, a necklace owned by the Petroff family, Karlov vows revenge against them.
Dr. Karlov develops a poison gas to kill the Petroffs. After the Russian Revolution, Karlov joins the Bolsheviks and kills a general from the family. The rest of the family is evacuated to New York City by the U.S. Secret Service.
Karlov follows the Petroffs to America and corners them at a safe house in New Jersey. Although Gregor blames Nicholas, Karlov kills him and tries to take revenge by forcing Nicholas to murder his love interest Kitty Conover. They are rescued by the police, and Dr. Karlov is killed by his own gas.",George B. Seitz,Florence Ryerson,,Phil Goldstone,Warner Oland / June Collyer / Lloyd Hughes,Arthur Reed,Otto Ludwig,Val Burton,,Tiffany Pictures,"March 2, 1931",75 minutes,,
Eagle Eye,Mystery,"In January 2009, Stanford University dropout Jerry Shaw learns that his identical twin brother Ethan, an officer in the U.S. Air Force, has been killed.  Following the funeral, Jerry is surprised to find $750,000 in his bank account and his apartment filled with illegal firearms and bomb making materials.  He receives a phone call from a woman who warns that the FBI is about to arrest him and he needs to run.  Jerry is caught by the FBI and interrogated by Supervising Agent Tom Morgan.
While Morgan confers with Air Force OSI Special Agent Zoe Pérez, the woman on the phone arranges for Jerry's escape and directs him to Rachel Holloman, a single mother.  The woman on the phone is coercing Rachel by threatening her son Sam, who is aboard the Capitol Limited en route to the Kennedy Center in Washington, D.C. with his school band.  The woman on the phone helps the two avoid law enforcement by controlling networked devices, including traffic lights, mobile phones, automated cranes, and even power lines.
Meanwhile, the caller redirects a crystalline explosive to a gemcutter, who cuts it and fixes it into a necklace.  Another man steals Sam's trumpet in Chicago and fits the crystal's sonic trigger into the tubing before forwarding it to Sam in Washington.
Agent Perez is summoned by Secretary of Defense George Callister to be read into Ethan's job at the Pentagon.  Ethan monitored the Department of Defense's top-secret intelligence-gathering supercomputer, the Autonomous Reconnaissance Intelligence Integration Analyst (ARIIA; /ɑːriːə/).  Callister leaves Perez with Major William Bowman and ARIIA to investigate Ethan Shaw's death.  Simultaneously, Rachel and Jerry learn that the woman on the phone is actually ARIIA, and that she has ""activated"" them according to the Constitution's authorization to recruit civilians for the national defense.
Perez and Bowman find evidence that Ethan Shaw hid in ARIIA's chamber and leave to brief Callister.  Afterwards, ARIIA smuggles Jerry and Rachel into her observation theater under the Pentagon.  Both groups learn that after ARIIA's recommendation was ignored and a botched operation in Balochistan resulted in the deaths of U.S. citizens, ARIIA concluded that ""to prevent more bloodshed, the executive branch must be removed.""  ARIIA is acting on behalf of ""We the People"", and cites the Declaration of Independence (""whenever any Form of Government becomes destructive of these ends, it is the Right of the People to alter or to abolish it"").
Belatedly, Jerry learns he has been brought to circumvent biometric locks placed by his twin that prevent ARIIA from activating Operation Guillotine, a military simulation of maintaining government after the loss of all presidential successors.  Because Secretary Callister agreed with ARIIA's abort recommendation regarding Balochistan, he is to be the designated survivor and new president after the crystal detonates at the State of the Union (SOTU).
Another of ARIIA's agents extracts Rachel from the Pentagon and gives her a dress and the explosive necklace to wear to the SOTU.  Sam's school band has also been redirected to the United States Capitol to play for the president, bringing the trigger in Sam's trumpet and the explosive together.  Jerry is recaptured by Agent Morgan, who has become convinced of Jerry's innocence.  Before sacrificing himself to stop an armed MQ-9 Reaper sent by ARIIA, Morgan gives Jerry his weapon and ID with which to gain entrance to the Capitol.  Arriving in the House Chamber, Jerry fires the handgun in the air to disrupt the concert before being shot and wounded by the Secret Service.
Sometime later, in April 2009, Callister reports that ARIIA has been decommissioned and recommends against building another; the Shaw twins and Agents Perez and Morgan receive awards for their actions; and Jerry attends Sam's birthday party, earning Rachel's gratitude and a kiss.",D. J. Caruso,,Dan McDermott,Alex Kurtzman/ Roberto Orci/ Pat Crowley,Shia LaBeouf/ Michelle Monaghan/ Rosario Dawson/ Michael Chiklis/ Anthony Mackie/ Billy Bob Thornton,Dariusz Wolski,Jim Page,Brian Tyler,,Paramount Pictures,,118 minutes,$80 million,$178.8 million
Easy Pickings,Mystery,Mary Ryan and Peter Van Horne get stranded in a haunted house inhabited by some very odd characters. The house is supposed to be haunted by ghosts. A detective (Billy Bevan) shows up to investigate the strange goings-on.,George Archainbaud,Louis Stevens,,First National Pictures/ Frank Griffin,Anna Q. Nilsson / Kenneth Harlan,Charles Van Enger,,,,First National Pictures,"February 20, 1927",6 reels,,
